codInstituicao|sigla|nomeInstituicao
001000000998|IFCE|Instituto Federal do Ceará - Campus Canindé
158700000001|UC|Universidade de Coimbra
985601020320|ITI|Instituto Nacional de Tecnologia da Informação
004500000002|UFPEL|Universidade Federal de Pelotas
||
051400000002|MACKENZIE|Universidade Presbiteriana Mackenzie
369500000006|UNSW|University of New South Wales
002800000001|UFVJM|Universidade Federal dos Vales do Jequitinhonha e Mucuri - Campus JK
007400000005|CPqD|Fundação Centro de Pesquisa e Desenvolvimento em Telecomunicações
181800000008|GEORGIA TECH|Georgia Institute of Technology
502700000001|IFPE|Instituto Federal de Pernambuco
475600000009|FEEVALE|Universidade Feevale
985605000995||SUPERA Centro de Tecnologia
004300000998|I3PE|Instituto Pernambucano de Pesquisa, Pós-Graduação e Empreendedorismo Ltda.
160200000004|FEMC|Fundação Educacional Montes Claros
007100000000|PUC/SP|Pontifícia Universidade Católica de São Paulo
JGCF00000007|INESC PORTO|Instituto de Engenharia de Sistemas e Computadores do Porto
432800000009|UNIPLAC|Universidade do Planalto Catarinense
032100000000|UNINOVE|Universidade Nove de Julho
JM6L00000003|ITU|IT University of Copenhagen
JA9200000005|ECEME|Escola de Comando e Estado Maior do Exército
IWU400000003|UFABC|Universidade Federal do ABC
355900000003|UNA|Universidad Nacional de Asunción
087900000002|UPF|Universidade de Passo Fundo
894500000009|UNIFAP|Universidade Federal do Amapá
002600000997|UNI7|Centro Universitário 7 de Setembro
GBIM00000005|FACCAMP|Faculdade Campo Limpo Paulista
412700000002|UFCSPA|Fundação Universidade Federal de Ciências da Saúde de Porto Alegre
064300000002|GOVERNO/RS|Governo do Estado do Rio Grande do Sul
431900000002|UEPB|Universidade Estadual da Paraíba
912100000003|INESC-ID|Instituto de Engenharia de Sistemas e Computadores - ID
156200000006|SCM/RJ|Santa Casa de Misericórdia do Rio de Janeiro
J9RB00000002|IST|Instituto Superior Técnico
014000000000|CNEN|Comissão Nacional de Energia Nuclear
462400000003|UNIFACS|Universidade Salvador
501100000002|UERN|Universidade do Estado do Rio Grande do Norte
121100000001|UNIFRA|Centro Universitário Franciscano
004100000005|CNPEM|Centro Nacional de Pesquisa em Energia e Materiais
612700000005|EPM|Ecole Polytechnique de Montreal
169600000005|UNIMEP|Universidade Metodista de Piracicaba
003200000009|CEETEPS|Centro Estadual de Educação Tecnológica Paula Souza
794300000009|USherbrooke|Université de Sherbrooke
005900000008|UEPG|Universidade Estadual de Ponta Grossa
337100000000|UQ|The University of Queensland
448900000007|GENIUS|Genius Instituto de Tecnologia
F3V900000009|IF Goiano|Instituto Federal Goiano
278100000001|FIT|Florida Institute of Technology
IVGJ00000004|PADTEC|Padtec - Optical Components and Systems
428800000000|UESPI|Universidade Estadual do Piauí
080400000006|UFJF|Universidade Federal de Juiz de Fora
IYZQ00000002|UENP|Universidade Estadual do Norte do Paraná
985601112411|RU|Ryerson University
000400000008|FGV|Fundação Getúlio Vargas
001200000991|IBM BRL|IBM Research - Brazil
002100000998|EMBRAPII|Empresa Brasileira de Pesquisa e Inovação Industrial
202100000001|INATEL|Instituto Nacional de Telecomunicações
387300000000|IFES|Instituto Federal de Educação, Ciência e Tecnologia do Espírito Santo
154100000008|IFCE|Instituto Federal do Ceará - Reitoria
769300000008|ITA|Instituto Tecnológico de Aeronáutica
J01Z00000005|IFB|Instituto Federal de Brasília
031100000002|SERPRO|Serviço Federal de Processamento de Dados
J1AM00000009|UC-FCTU-DEI|Universidade de Coimbra - Depto. Eng. Informática
010000000008|BB|Banco do Brasil - Direção Geral
012800000009|CTA|Centro Técnico Aeroespacial
584200000007|UNEB|Universidade do Estado da Bahia
985602001990||Núcleo de Tecnologia em Educação de Santarém
501600000001|ULBRA|Universidade Luterana do Brasil
J3UC00000003|UNILA|Universidade Federal da Integração Latino-Americana
333900000002|TWENTE|Twente University of Technology
293700000006|UTP|Universidade Tuiuti do Paraná
985600139847|CEITEC|Centro de Excelência em Tecnologia Eletrônica Avançada
JDCF00000005|UAb|Universidade Aberta de Lisboa
653900000006|USJT|Universidade São Judas Tadeu
342900000001|ANHEMBI MORUMBI|Universidade Anhembi Morumbi
528100000004|ICPA|Instituto do Conhecimento e Ciências Aplicadas
460900000006|UFT|Universidade Federal do Tocantins
528700000005|IFTO|Instituto Federal de Educação, Ciência e Tecnologia do Tocantins
JAAK00000008|ISCTE-IUL|Instituto Universitário de Lisboa
985600042029|RNP|Rede Nacional de Ensino e Pesquisa
