id_autor|area|subarea|esp
88019824603585|Ciência da Computação|Teoria da Computação|Análise de Algoritmos e Complexidade de Computação
88019824603585|Genética||
96706530254253|Ciência da Computação|Metodologia e Técnicas da Computação|Banco de Dados
96706530254253|Ciência da Computação|Metodologia e Técnicas da Computação|Sistemas de Informação
64966065084195|Ciência da Computação|Sistemas de Computação|Arquitetura de Sistemas de Computação
64966065084195|Ciência da Computação|Sistemas de Computação|
64966065084195|Engenharia Elétrica|Eletrônica Industrial, Sistemas e Controles Eletrônicos|Sistemas Reconfiguráveis
64966065084195|Engenharia Elétrica|Eletrônica Industrial, Sistemas e Controles Eletrônicos|Sistemas de Eventos Discretos
64966065084195|Engenharia Elétrica|Eletrônica Industrial, Sistemas e Controles Eletrônicos|Síntese Automática de Sistemas
64966065084195|Engenharia Elétrica|Eletrônica Industrial, Sistemas e Controles Eletrônicos|
34827386826040|Ciência da Computação||
34827386826040|Matemática||
34827386826040|Administração||
34827386826040|Ciência da Informação||
34827386826040|Letras||
34827386826040|Probabilidade e Estatística||
10284367744326|Ciência da Computação|Processamento Digital de Imagens|
10284367744326|Ciência da Computação|Planejamento, Projeto e Controle de Sistemas de Produção|
10284367744326|Ciência da Computação|Visão Computacional|
10284367744326|Ciência da Computação|Robótica, Mecatrônica e Automação|
10284367744326|Ciência da Computação|Desenvolvimento de Produto|
10284367744326|Ciência da Computação|Ciência da Computação|
02488447573085|Ciência da Computação||
02488447573085|Engenharia Elétrica|Telecomunicações|
02488447573085|Ciência da Computação|Metodologia e Técnicas da Computação|Sistemas de Informação
02488447573085|Ciência da Computação|Matemática da Computação|Criptologia
02488447573085|Educação||
05257891652243|Ciência da Computação|Metodologia e Técnicas da Computação|Sistemas de Informação
86655474926555|Ciência da Computação|Metodologia e Técnicas da Computação|Modelagem Computacional
86655474926555|Ciência da Computação|Matemática da Computação|Modelos Analíticos e de Simulação
86655474926555|Ciência da Computação|Ciência de dados|
86655474926555|Ciência da Computação|Linguagens de Programação|
86655474926555|Ciência da Computação|Banco de Dados|
86655474926555|Ciência da Computação|Sistemas de Informação Geográfica|
05245515649663|Filosofia|Filosofia da Lógica|
05245515649663|Filosofia|Metafísica|
05245515649663|Filosofia|Filosofia Analítica|
05245515649663|Filosofia|Filosofia da Ciência e da Tecnologia|
05245515649663|Filosofia|Ciências Ambientais|
31770792108992|Ciência da Computação|Sistemas de Computação|Arquitetura de Sistemas de Computação
31770792108992|Ciência da Computação|Metodologia e Técnicas da Computação|Banco de Dados
31770792108992|Ciência da Computação|Metodologia e Técnicas da Computação|
81615416246917|Ciência da Computação|Aprendizagem de Máquina|
81615416246917|Ciência da Computação|Séries Temporais|
81615416246917|Ciência da Computação|Redes Neurais|
14653504800366|Administração||
14653504800366|Administração|Administração de Empresas|Administração de Recursos Humanos
14653504800366|Administração|Administração de Empresas|Mercadologia
14653504800366|Administração|Administração Pública|Contabilidade e Finanças Públicas
14653504800366|Economia|Crescimento, Flutuações e Planejamento Econômico|Crescimento e Desenvolvimento Econômico
14653504800366|Economia|Crescimento, Flutuações e Planejamento Econômico|Inflação
35518366223285|Engenharia de Produção|Engenharia do Produto|Engenharia de Usabilidade
35518366223285|Engenharia de Produção|Engenharia do Produto|Interação Humano Computador
35518366223285|Ciência da Computação|Interface Homem Máquina|
35518366223285|Desenho Industrial|Programação Visual|Projeto da Interface com o Usuário
35518366223285|Desenho Industrial|Ergonomia|
35518366223285|Ciência da Computação|Interface Homem Máquina|Interfaces Para Telefones Celulares
67275230724673|Ciência da Computação||
67275230724673|Ciência da Computação|Teoria da Computação|Processamento de Língua Natural
91048428072248|Ciência da Computação|Metodologia e Técnicas da Computação|Banco de Dados
91048428072248|Ciência da Computação|Metodologia e Técnicas da Computação|Engenharia de Software
91048428072248|Ciência da Computação|Teoria da Computação|Análise de Algoritmos e Complexidade de Computação
91048428072248|Ciência da Computação||
91048428072248|Ciência da Computação|Sistemas Distribuídos|
91048428072248|Ciência da Computação|Sistemas Distribuídos|Grades Computacionais
97090761132558|Ciência da Computação|Metodologia e Técnicas da Computação|Processamento Gráfico (Graphics)
97090761132558|Ciência da Computação|Metodologia e Técnicas da Computação|Engenharia de Software
74551632500870|Engenharia Elétrica|Sistemas Embutidos|
74551632500870|Engenharia Elétrica|Sistemas de Computação Integrados|
74551632500870|Engenharia Elétrica|Internet das Coisas|
74551632500870|Engenharia Elétrica|Sistemas VLSI|
74551632500870|Engenharia Elétrica|Programação|
74551632500870|Engenharia Elétrica|Engenharia Elétrica|
79728954543082|Ciência da Computação|Metodologia e Técnicas da Computação|Interação Humano-Computador
79728954543082|Educação|Ensino-Aprendizagem|Tecnologia Educacional
79728954543082|Ciência da Computação|Metodologia e Técnicas da Computação|Engenharia de Software
79728954543082|Educação|Ensino-Aprendizagem|Métodos e Técnicas de Ensino
65414661753032|Ciência da Computação|Informática na Educação|
65414661753032|Educação|Ensino-Aprendizagem|Tecnologia Educacional
65414661753032|Ciência da Computação|Inteligência Artificial|
65414661753032|Ciência da Computação|Visão Computacional|
90088200722184|Ciência da Computação|Sistemas de Computação|Arquitetura de Sistemas de Computação
90088200722184|Ciência da Computação|Sistemas de Computação|Hardware
34693605452082|Geociências|Geoprocessamento|
34693605452082|Geociências|Geofísica|Sensoriamento Remoto
