|autores|titulo|ano|group
114|Esther Luna Colombini&Alexandre da Silva Simões&RIBEIRO, CARLOS HENRIQUE COSTA|model autonom mobil robot|2016|114.0
115|Rafael Vidal Aroca&Tatiana FPAT Pazelli&Flavio Tonidandel&Azamor CA Filho&Alexandre da Silva Simões&Esther Luna Colombini&Aquiles Burlamaqui&Luis Marcos Garcia Gonçalves|robot olympiad paradigm scienc technolog dissemin|2016|115.0
117|MASÍAS, VÍCTOR HUGO&Mauricio Valle&MORSELLI, CARLO&CRESPO, FERNANDO&VARGAS, AUGUSTO&LAENGLE, SIGIFREDO|model verdict outcom social network measur waterg caviar network case|2016|117.0
118|Mauricio Valle&LAVIN, JAIME F.&MAGNER, NICOLAS S.&GELDES, CRISTIAN E.|influenc inform price willing pay expect qualiti evalu|2016|118.0
119|Agustín Mejías Acosta&Mauricio Valle&Arturo Vega Robles|qualiti univers servic reflect case studi context|2016|119.0
120|MASÍAS, VÍCTOR HUGO&Mauricio Valle&CRESPO, FERNANDO A.&LAENGLE, SIGIFREDO|properti valuat machin learn algorithm studi metropolitan area chile|2016|120.0
121|MASÍAS, VÍCTOR HUGO&Mauricio Valle&AMAR, JOSÉ J.&CERVANTES, MARCO&BRUNAL, GUSTAVO&CRESPO, FERNANDO A.|characteris person public safeti offend non offend decis tree case colombia|2016|121.0
122|Flávio Keidi Miyazawa&Lehilton Lelis Chaves Pedrosa&Schouery, Rafael C. S.&Sviridenko, Maxim&Wakabayashi, Yoshiko|polynomi time approxim scheme circl pack problem|2016|122.0
123|MEIRA, LUIS A.A.&Miyazawa, Flávio K.&Lehilton Lelis Chaves Pedrosa|cluster continu facil locat problem|2016|123.0
124|MELO, LUCAS P.&Miyazawa, Flávio K.&Lehilton Lelis Chaves Pedrosa&Schouery, Rafael C. S.|approxim algorithm k level facil locat problem|2016|124.0
126|Marcelo Fornazin&Luiz Antonio Joia|link perspect analyz health inform commun technolog brazil|2016|126.0
127|Breno Alexandro Ferreira de Miranda&BERTOLINO, ANTONIA|scope aid test select minim softwar reus|2016|127.0
128|Elisa Maria Pivetta&Daniela Satomi Saito&Vania Ribas Ulbricht&Ana Margarida Pisco Almeida|bilingu learn support commun practic|2016|128.0
131|BARRERA&FONSECA, ANDRÉ&GUBITOSO, MARCO&REIS, MARCELO&Sandro José de Souza&Junior Barrera|approach identif cancer relat pathway protein network genom data|2016|131.0
132|Claudio Fabiano Motta Toledo&DA SILVA ARANTES, MARCIO&YUKIO BRESSAN HOSSOMI, MARCELO&Almada-Lobo, Bernardo|program base approach glass contain product plan|2016|132.0
133|DE PAIVA, JONATAS LOPES&Claudio Fabiano Motta Toledo&PEDRINI, HELIO|approach base algorithm appli imag problem|2016|133.0
134|ROSA, L.S.&Alexandre Cláudio Botazzo Delbem&Claudio Fabiano Motta Toledo&Vanderlei Bonato|design analysi bit length optim algorithm float fix point convers|2016|134.0
135|Valdemar Abrão Pedro Anastácio Devesse&Maristela Oliveira dos Santos&Claudio Fabiano Motta Toledo|fair physician schedul problem emerg room|2016|135.0
137|CASAGRANDE, MARCUS V. S.&José Luis Drummond Alves&SILVA, CARLOS E.&ALVES, FÁBIO T.&Renato Nascimento Elias&Coutinho, Alvaro L. G. A.|fem dem approach simul flow particl|2016|137.0
138|Guerra, Gabriel M.&ZIO, SOULEYMANE&CAMATA, JOSE J.&DIAS, JONAS&Renato Nascimento Elias&Mattoso, Marta&B. PARAIZO, PAULO L.&G. A. COUTINHO, ALVARO L.&Rochinha, Fernando A.|uncertainti quantif simul particl flow|2016|138.0
139|DE SOUZA, ALLAN M.&Roberto Sadao Yokoyama&BOUKERCHE, AZZEDINE&MAIA, GUILHERME&CERQUEIRA, EDUARDO&LOUREIRO, ANTONIO A.F.&VILLAS, LEANDRO APARECIDO|icaru improv traffic condit alert rout system|2016|139.0
140|BRADLEY, ANDREW V.&HARTLEY, ANDREW J.&SMITH, MATTHEW J.&EWERS, ROBERT M.&ROSA, ISABEL M.D.&PONTIUS, ROBERT G.&AHMED, SADIA E.&ARAÚJO, MIGUEL B.&BROWN, DANIEL G.&BRANDÃO, AMINTAS&Gilberto Camara Neto&CARNERIO, TIAGO G.S.|criteria map comparison tool land chang model project|2016|140.0
141|MAUS, VICTOR&Gilberto Camara Neto&CARTAXO, RICARDO&Sanchez, Alber&RAMOS, FERNANDO M.&DE QUEIROZ, GILBERTO R.|time weight time warp method land use land cover map|2016|141.0
142|MAIDL, ANDRÉ MURBACH&MASCARENHAS, FABIO&Sérgio Queiroz de Medeiros&IERUSALIMSCHY, ROBERTO|error report pars express grammar|2016|142.0
143|Alexandre Franco&Luciano Rebouças de Oliveira|covari featur concept integr perform person identif|2016|143.0
144|Lopes, Mauro Cardoso&Carlos Eduardo de Andrade&de Queiroz, Thiago Alves&RESENDE, MAURICIO G. C.&MIYAZAWA, FLÁVIO KEIDI|heurist hub locat rout problem|2016|144.0
145|Sidney Marlon Lopes de Lima&DA SILVA-FILHO, ABEL G.&DOS SANTOS, WELLINGTON PINHEIRO|detect classif mass imag approach|2016|145.0
146|André de Souza Andrade&Eber Assis Schmitz&Antonio Juarez Sylvio Menezes de Alencar&Alexandre Luis Correa|optim framework releas plan increment fund method|2016|146.0
147|Antonio Juarez Sylvio Menezes de Alencar&Jorge V. Doria Jr.&Eber Assis Schmitz&Alexandre Luis Correa|analyz increment fund method softwar project schedul algorithm|2016|147.0
148|Marcelo Carvalho Fernandes&Antonio Juarez Sylvio Menezes de Alencar&Eber Assis Schmitz&Monica Ferreira da Silva&Petros Sotirios Stefaneas|evalu agil softwar project public sector literatur review|2016|148.0
149|Stanislav Tairov&STEVANATTO, L. C.|state charg estim lead acid batteri multi frequenc ac test|2016|149.0
150|Paulo Sergio Silva Rodrigues&Giraldi, Gilson|fourier analysi function analyt numer result|2016|150.0
153|DE PAIVA GUIMARÃES, MARCELO&Diego Roberto Colombo Dias&MOTA, JOSÉ HAMILTON&GNECCO, BRUNO BARBERI&DURELLI, VINÍCIUS HUMBERTO SERAPILHA&TREVELIN, LUIS CARLOS|realiti applic base web browser|2016|153.0
154|UTSUNOMIYA, ADAM T. H.&Ricardo da Fonseca&DA SILVA, MARCOS V. G. B.&SANTOS, DANIEL J. A.&BOISON, SOLOMON A.&UTSUNOMIYA, YURI T.&MILANESI, MARCO&BICKHART, DEREK M.&AJMONE-MARSAN, PAOLO&SÖLKNER, JOHANN&GARCIA, JOSÉ F.|segment refer genom resolut linkag disequilibrium scan|2016|154.0
155|Gabriel de Morais Coutinho|spectral extrem vertic strong state transfer|2016|155.0
156|Gabriel de Morais Coutinho&GODSIL, C.&SHIRAZI, H.&ZHAN, H.|line cover graph|2016|156.0
157|RODRIGUES, IRAN&RIBEIRO, MÁRCIO&MEDEIROS, FLÁVIO&BORBA, PAULO&Baldoino Fonseca dos Santos Neto&GHEYI, ROHIT|assess fine grain featur depend|2016|157.0
